Host,Include Subdomains,Protocol,Port,File,Comment
*.dhs.gov,true,https,,,
*.biometrics.gov,true,https,,,
*.cbp.gov,true,https,,,
*.cisa.gov,true,https,,,
*.cpnireporting.gov,true,https,,,
*.cyber.gov,true,https,,,
*.cybersecurity.gov,true,https,,,
*.disasterassistance.gov,true,https,,,
*.dotgov.gov,true,https,,,
*.e-verify.gov,true,https,,,
*.everify.gov,true,https,,,
*.evus.gov,true,https,,,
*.fema.gov,true,https,,,
*.firstrespondertraining.gov,true,https,,,
*.fleta.gov,true,https,,,
*.fletc.gov,true,https,,,
*.floodsmart.gov,true,https,,,
*.get.gov,true,https,,,
*.globalentry.gov,true,https,,,
*.homelandsecurity.gov,true,https,,,
*.ice.gov,true,https,,,
*.juntos.gov,true,https,,,
*.listo.gov,true,https,,,
*.nic.gov,true,https,,,
*.niem.gov,true,https,,,
*.nmsc.gov,true,https,,,
*.power2prevent.gov,true,https,,,
*.preventionresourcefinder.gov,true,https,,,
*.ready.gov,true,https,,,
*.readybusiness.gov,true,https,,,
*.safetyact.gov,true,https,,,
*.schoolsafety.gov,true,https,,,
*.secretservice.gov,true,https,,,
*.stopransomware.gov,true,https,,,
*.together.gov,true,https,,,
*.tsa.gov,true,https,,,
*.us-cert.gov,true,https,,,
*.uscg.gov,true,https,,,
*.uscis.gov,true,https,,,
*.usss.gov,true,https,,,
*.trumpcard.gov,true,https,,,
trumpcard.gov,true,https,,,
trumpcard.gov,true,http,,,
