identifier,asset_type
*.dhs.gov,domain/URL
*.biometrics.gov,domain/URL
*.cbp.gov,domain/URL
*.cisa.gov,domain/URL
*.cpnireporting.gov,domain/URL
*.cyber.gov,domain/URL
*.cybersecurity.gov,domain/URL
*.disasterassistance.gov,domain/URL
*.dotgov.gov,domain/URL
*.e-verify.gov,domain/URL
*.everify.gov,domain/URL
*.evus.gov,domain/URL
*.fema.gov,domain/URL
*.firstrespondertraining.gov,domain/URL
*.fleta.gov,domain/URL
*.fletc.gov,domain/URL
*.floodsmart.gov,domain/URL
*.get.gov,domain/URL
*.globalentry.gov,domain/URL
*.homelandsecurity.gov,domain/URL
*.ice.gov,domain/URL
*.juntos.gov,domain/URL
*.listo.gov,domain/URL
*.nic.gov,domain/URL
*.niem.gov,domain/URL
*.nmsc.gov,domain/URL
*.power2prevent.gov,domain/URL
*.preventionresourcefinder.gov,domain/URL
*.ready.gov,domain/URL
*.readybusiness.gov,domain/URL
*.safetyact.gov,domain/URL
*.schoolsafety.gov,domain/URL
*.secretservice.gov,domain/URL
*.stopransomware.gov,domain/URL
*.together.gov,domain/URL
*.tsa.gov,domain/URL
*.us-cert.gov,domain/URL
*.uscg.gov,domain/URL
*.uscis.gov,domain/URL
*.usss.gov,domain/URL
*.trumpcard.gov,domain/URL
trumpcard.gov,domain/URL
https://trumpcard.gov,domain/URL
